SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"51386","21274","1","2025","Normal","Minecraft","Licensed","Minifig-scale","The Warden Encounter","X","21274-1","19.99","17.99","24.99","19.99","03/05/2025 00:00:00","15/04/2026 00:00:00","238","2","min148,min221,","Box","Retail","6526789","6526788","5702017815480","673419404747","20.5","19.1","7.3","","","","","7","","735","296","4","11","X","4","17.2500","","Aron Gerencser,","01/06/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51351","21280","1","2025","Normal","Minecraft","Licensed","Seasonal","LEGO Minecraft Advent Calendar 2025","X","21280-1","44.99","29.99","59.99","34.99","02/05/2025 00:00:00","12/02/2026 00:00:00","300","12","min012,min088,min220,min233,min234,min235,min236,min237,min238,min239,min240,min241,","Box","Retail","6526801","6526800","5702017815374","673419404396","","","","","","","","7","","981","323","1","6","X","4","41.2000","","Aron Gerencser,","01/09/2025 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27673","30358","1","2018","Normal","City","Modern day","Racing","Dragster","X","30358-1","","","","","","","40","1","cty0874,","Polybag","Retail - limited","6214720","6214719","5702016122695","","17","17","1","0.043","","","","5","12","3979","540","2","1","X","3","4.6000","2.2700","","01/01/2018 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"26688","30522","1","2017","Normal","The LEGO Batman Movie","Licensed","Miscellaneous","Batman in the Phantom Zone","X","30522-1","","3.99","","3.49","","","59","1","sh0318,","Polybag","Retail","6176944","6176942","5702015876933","","17","17","0.8","","","","","7","14","6923","953","2","3","X","22","6.2900","4.0000","","01/01/2017 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32324","30589","1","2022","Normal","City","Modern day","Racing","Go-Kart Racer","X","30589-1","","","","","","","39","1","cty1432,","Polybag","Retail","6379596","6379595","5702017161006","673419359054","17","17","1.7","0.03","","","","5","","3268","648","2","1","X","3","3.8800","2.7900","","01/01/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32325","30592","1","2022","Normal","Ninjago","Action/Adventure","Rebooted","Mini Thunder Raider","X","30592-1","","","","","","","69","","","Polybag","LEGO exclusive","6378920","6378853","","","17","19.5","1.5","","","","","7","","1238","299","3","1","X","0","3.5900","3.4700","Markus Rollbühler,","01/01/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32326","30593","1","2022","Normal","Ninjago","Action/Adventure","Core","Lloyd Suit Mech","X","30593-1","","","","","","","59","1","njo0715,","Polybag","Retail","6378921","6378854","","673419355049","17","19.5","1.5","","","","","","","1464","395","2","0","X","0","4.6300","2.9200","Markus Rollbühler,","01/01/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"34405","30647","1","2023","Normal","Minecraft","Licensed","Minifig-scale","The Dripstone Cavern","X","30647-1","4.99","","","","","","45","2","min009,min012,","Polybag","Retail","6427816","6427817","","","17","19.5","1.5","","","","","","","2510","481","2","1","X","0","6.1000","1.0000","Erik Jensen,","01/01/2023 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"34337","30649","1","2023","Normal","Ninjago","Action/Adventure","Core","Ice Dragon Creature","X","30649-1","","","","","","","70","","","Polybag","LEGO exclusive","6427821","6427822","","","17","19.5","1.5","","","","","7","","1472","337","3","1","X","0","4.0500","3.7500","Aaron Newman,","01/01/2023 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"47074","30650","1","2023","Normal","Ninjago","Action/Adventure","Dragons Rising Season 1","Kai and Rapton's Temple Battle","X","30650-1","","","","","","","47","2","njo0811,njo0821,","Polybag","{Not specified}","6427824","6427825","5702017421995","673419377546","17","19.5","1.4","0.033","","","","6","","3382","263","2","1","X","16","4.5700","3.4700","","01/06/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48305","30672","1","2024","Normal","Minecraft","Licensed","Minifig-scale","Steve and Baby Panda","X","30672-1","4.99","","","","","","35","1","min009,","Polybag","Retail - limited","6465080","6465079","","673419387491","17","19.5","1.5","","","","","","","2715","382","2","2","X","0","4.1000","1.0000","Aron Gerencser,","01/01/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
